Category,City,Country/Region,Customer ID,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Segments Abbrev,Selected Year,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit
Office Supplies,Rapid City,United States,CA-11965,Carol Adams,Wilson Jones,26-01-2019,US-2019-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporate,COR,FALSE,29-01-2019,First Class,South Dakota,Binders,0,$0.01K
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,REDIFORM,26-01-2019,US-2019-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,Home Office,HO,FALSE,31-01-2019,Standard Class,Virginia,Paper,0,$0.01K
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,Eureka,26-01-2019,US-2019-155502,22304,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,Home Office,HO,FALSE,31-01-2019,Standard Class,Virginia,Paper,0,$0.01K
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,SAFCO,26-01-2019,US-2019-155502,22304,"SAFCO Commercial Wire Shelving, 72h",South,Home Office,HO,FALSE,31-01-2019,Standard Class,Virginia,Storage,0,$0.00K
Technology,Alexandria,United States,SD-20485,Shirley Daniels,Jabra,26-01-2019,US-2019-155502,22304,Jabra SPEAK 410,South,Home Office,HO,FALSE,31-01-2019,Standard Class,Virginia,Phones,0,$0.05K
Technology,Alexandria,United States,SD-20485,Shirley Daniels,Other,26-01-2019,US-2019-155502,22304,Macally Suction Cup Mount,South,Home Office,HO,FALSE,31-01-2019,Standard Class,Virginia,Phones,0,$0.00K
Furniture,San Diego,United States,EJ-13720,Ed Jacobs,Balt,27-01-2019,US-2019-117163,92037,Balt Split Level Computer Training Table,West,Consumer,CON,FALSE,02-02-2019,Standard Class,California,Tables,0.2,-$0.02K
Office Supplies,San Diego,United States,EJ-13720,Ed Jacobs,Dixon,27-01-2019,US-2019-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,West,Consumer,CON,FALSE,02-02-2019,Standard Class,California,Art,0,$0.01K
Office Supplies,San Diego,United States,EJ-13720,Ed Jacobs,Other,27-01-2019,US-2019-117163,92037,Recycled Steel Personal File for Hanging File Folders,West,Consumer,CON,FALSE,02-02-2019,Standard Class,California,Storage,0,$0.01K
Office Supplies,New York City,United States,JC-15340,Jasper Cacioppo,Pressboard,28-01-2019,US-2019-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,Consumer,CON,FALSE,03-02-2019,Standard Class,New York,Binders,0.2,$0.00K
Office Supplies,Detroit,United States,MV-18190,Mike Vittorini,Xerox,30-01-2019,US-2019-134103,48234,Xerox 1972,Central,Consumer,CON,FALSE,04-02-2019,Standard Class,Michigan,Paper,0,$0.00K
Office Supplies,Detroit,United States,MV-18190,Mike Vittorini,Space Solutions,30-01-2019,US-2019-134103,48234,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,CON,FALSE,04-02-2019,Standard Class,Michigan,Storage,0,$0.01K
Furniture,Mission Viejo,United States,LC-17050,Liz Carlisle,Sauder,31-01-2019,US-2019-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",West,Consumer,CON,FALSE,02-02-2019,First Class,California,Bookcases,0.15,$0.00K
Technology,Green Bay,United States,BD-11500,Bradley Drucker,Enermax,01-02-2019,US-2019-140795,54302,Enermax Aurora Lite Keyboard,Central,Consumer,CON,FALSE,03-02-2019,First Class,Wisconsin,Accessories,0,$0.21K
Office Supplies,Saint Petersburg,United States,EB-13930,Eric Barreto,Other,02-02-2019,US-2019-123400,33710,Surelock Post Binders,South,Consumer,CON,FALSE,09-02-2019,Standard Class,Florida,Binders,0.7,-$0.01K
Office Supplies,San Diego,United States,CD-12790,Cynthia Delaney,Other,02-02-2019,US-2019-139857,92037,Staples,West,Home Office,HO,FALSE,06-02-2019,Standard Class,California,Fasteners,0,$0.01K
Technology,Saint Petersburg,United States,EB-13930,Eric Barreto,AT&T,02-02-2019,US-2019-123400,33710,AT&T 17929 Lendline Telephone,South,Consumer,CON,FALSE,09-02-2019,Standard Class,Florida,Phones,0.2,$0.01K
Office Supplies,Seattle,United States,TB-21400,Tom Boeckenhauer,Avery,03-02-2019,US-2019-111059,98105,Avery Durable Poly Binders,West,Consumer,CON,FALSE,06-02-2019,Second Class,Washington,Binders,0.2,$0.00K
Office Supplies,Seattle,United States,TB-21400,Tom Boeckenhauer,Ibico,03-02-2019,US-2019-111059,98105,Ibico Laser Imprintable Binding System Covers,West,Consumer,CON,FALSE,06-02-2019,Second Class,Washington,Binders,0.2,$0.03K
Office Supplies,Escondido,United States,MH-17440,Mark Haberlin,GBC,04-02-2019,US-2019-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Corporate,COR,FALSE,08-02-2019,Second Class,California,Binders,0.2,$0.01K
Office Supplies,San Diego,United States,DB-13270,Deborah Brumfield,GBC,04-02-2019,US-2019-107181,92024,GBC Recycled Grain Textured Covers,West,Home Office,HO,FALSE,08-02-2019,Standard Class,California,Binders,0.2,$0.03K
Office Supplies,San Diego,United States,DB-13270,Deborah Brumfield,Message Book,04-02-2019,US-2019-107181,92024,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,Home Office,HO,FALSE,08-02-2019,Standard Class,California,Paper,0,$0.02K
Office Supplies,Romeoville,United States,DL-13315,Delfina Latchford,Avery,06-02-2019,US-2019-108182,60441,"Avery Flip-Chart Easel Binder, Black",Central,Consumer,CON,FALSE,10-02-2019,Second Class,Illinois,Binders,0.8,-$0.01K
Office Supplies,Chesapeake,United States,ND-18460,Neil Ducich,Avery,06-02-2019,US-2019-131905,23320,Avery 480,South,Corporate,COR,FALSE,09-02-2019,First Class,Virginia,Labels,0,$0.01K
Technology,Chesapeake,United States,ND-18460,Neil Ducich,AT&T,06-02-2019,US-2019-131905,23320,AT&T CL82213,South,Corporate,COR,FALSE,09-02-2019,First Class,Virginia,Phones,0,$0.04K
Technology,Chesapeake,United States,ND-18460,Neil Ducich,Other,06-02-2019,US-2019-131905,23320,Aastra 57i VoIP phone,South,Corporate,COR,FALSE,09-02-2019,First Class,Virginia,Phones,0,$0.04K
Office Supplies,New York City,United States,CS-12250,Chris Selesnick,Acco,07-02-2019,US-2019-169390,10024,Acco Perma 4000 Stacking Storage Drawers,East,Corporate,COR,FALSE,10-02-2019,Second Class,New York,Storage,0,$0.01K
Technology,Linden,United States,CK-12760,Cyma Kinney,Maxell,07-02-2019,US-2019-107755,7036,Maxell DVD-RAM Discs,East,Corporate,COR,FALSE,12-02-2019,Standard Class,New Jersey,Accessories,0,$0.05K
Furniture,North Las Vegas,United States,NM-18445,Nathan Mautz,Master Caster,08-02-2019,US-2019-125759,89031,"Master Caster Door Stop, Large Brown",West,Home Office,HO,FALSE,09-02-2019,First Class,Nevada,Furnishings,0,$0.01K
Furniture,Columbia,United States,GA-14725,Guy Armstrong,Global,11-02-2019,US-2019-168368,65203,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,CON,FALSE,15-02-2019,Second Class,Missouri,Chairs,0,$0.02K
Furniture,Columbia,United States,GA-14725,Guy Armstrong,Other,11-02-2019,US-2019-168368,65203,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,Consumer,CON,FALSE,15-02-2019,Second Class,Missouri,Furnishings,0,$0.05K
Furniture,Chesapeake,United States,NF-18385,Natalie Fritzler,Hon,11-02-2019,US-2019-127614,23320,Hon 2111 Invitation Series Corner Table,South,Consumer,CON,FALSE,15-02-2019,Standard Class,Virginia,Tables,0,$0.08K
Office Supplies,Chesapeake,United States,NF-18385,Natalie Fritzler,Wilson Jones,11-02-2019,US-2019-127614,23320,Wilson Jones Leather-Like Binders with DublLock Round Rings,South,Consumer,CON,FALSE,15-02-2019,Standard Class,Virginia,Binders,0,$0.01K
Office Supplies,Columbia,United States,GA-14725,Guy Armstrong,Other,11-02-2019,US-2019-168368,65203,VariCap6 Expandable Binder,Central,Consumer,CON,FALSE,15-02-2019,Second Class,Missouri,Binders,0,$0.02K
Office Supplies,Columbia,United States,GA-14725,Guy Armstrong,Wilson Jones,11-02-2019,US-2019-168368,65203,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Central,Consumer,CON,FALSE,15-02-2019,Second Class,Missouri,Binders,0,$0.00K
Office Supplies,Columbia,United States,GA-14725,Guy Armstrong,Avery,11-02-2019,US-2019-168368,65203,Avery 483,Central,Consumer,CON,FALSE,15-02-2019,Second Class,Missouri,Labels,0,$0.01K
Office Supplies,Columbia,United States,GA-14725,Guy Armstrong,Fellowes,11-02-2019,US-2019-168368,65203,Fellowes Neat Ideas Storage Cubes,Central,Consumer,CON,FALSE,15-02-2019,Second Class,Missouri,Storage,0,$0.00K
Technology,Chesapeake,United States,NF-18385,Natalie Fritzler,Enermax,11-02-2019,US-2019-127614,23320,Enermax Aurora Lite Keyboard,South,Consumer,CON,FALSE,15-02-2019,Standard Class,Virginia,Accessories,0,$0.10K
Furniture,Concord,United States,SC-20095,Sanjit Chand,Global,12-02-2019,US-2019-110674,94521,"Global Geo Office Task Chair, Gray",West,Consumer,CON,FALSE,18-02-2019,Standard Class,California,Chairs,0.2,-$0.02K
Office Supplies,Seattle,United States,ML-17395,Marina Lichtenstein,Belkin,14-02-2019,US-2019-121762,98103,Belkin 8 Outlet Surge Protector,West,Corporate,COR,FALSE,18-02-2019,Standard Class,Washington,Appliances,0,$0.02K
Office Supplies,Houston,United States,ST-20530,Shui Tom,Other,14-02-2019,US-2019-107706,77095,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Central,Consumer,CON,FALSE,19-02-2019,Second Class,Texas,Paper,0.2,$0.01K
Office Supplies,Seattle,United States,ML-17395,Marina Lichtenstein,Other,14-02-2019,US-2019-121762,98103,Compact Automatic Electric Letter Opener,West,Corporate,COR,FALSE,18-02-2019,Standard Class,Washington,Supplies,0,$0.00K
Technology,Seattle,United States,ML-17395,Marina Lichtenstein,Logitech,14-02-2019,US-2019-121762,98103,Logitech G600 MMO Gaming Mouse,West,Corporate,COR,FALSE,18-02-2019,Standard Class,Washington,Accessories,0,$0.09K
Office Supplies,Seattle,United States,BF-11020,Barry Französisch,Pressboard,15-02-2019,US-2019-165568,98105,Pressboard Data Binders by Wilson Jones,West,Corporate,COR,FALSE,19-02-2019,Standard Class,Washington,Binders,0.2,$0.01K
Office Supplies,Dallas,United States,MN-17935,Michael Nguyen,Holmes,16-02-2019,US-2019-122567,75220,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Central,Consumer,CON,FALSE,21-02-2019,Standard Class,Texas,Appliances,0.8,-$0.01K
Office Supplies,Dallas,United States,MN-17935,Michael Nguyen,Wilson Jones,16-02-2019,US-2019-122567,75220,Wilson Jones Easy Flow II Sheet Lifters,Central,Consumer,CON,FALSE,21-02-2019,Standard Class,Texas,Binders,0.8,$0.00K
Office Supplies,Chicago,United States,DL-13315,Delfina Latchford,Staples in misc. colors,17-02-2019,US-2019-154165,60653,Staples in misc. colors,Central,Consumer,CON,FALSE,24-02-2019,Standard Class,Illinois,Art,0.2,$0.01K
Furniture,Lubbock,United States,TB-21595,Troy Blackwell,DAX,18-02-2019,US-2019-165589,79424,"DAX Copper Panel Document Frame, 5 x 7 Size",Central,Consumer,CON,FALSE,18-02-2019,Same Day,Texas,Furnishings,0.6,-$0.01K
